"﻿""Story Primary ID""",Story ID,User Primary ID,User ID,Gender,Age,Title,Account Created Date,Interest,ADL Flag,Event Title,Event Category,Event Flag,Mental Illness Prevalance by Age,Mental Illness Prevalance by Gender,Mental Illness Prevalance by Age and Gender,language-google,language-tika,translated title,Object_Recognized,captions,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,Location name,Lng.,Lat.
105133,STY1654473727,8255,USR1628503147,others,13,2. Looking back : On the bench once more,2021-08-09 15:29:07,"looking back, books",1,,,0,45,49,22,en,en,2. Looking back : On the bench once more,"['book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site']","['a black and white photo of a man holding a tennis racket .', 'a black and white photo of a man holding a tennis racket', 'a black and white photo of a man with a tennis racket .']",0.0004587556759361,1.4069781855141628e-06,4.358236401458271e-05,5.544444502447732e-05,0.00014473493502,1.4092534911469556e-05,1.296247592108557e-05,British Indian Ocean Territory,72.0,-6.0
105132,STY1654473498,8601,USR1630424770,others,13,3. Contemporary Afghanistan : The 'Bonn Agreement',2021-08-31 21:16:10,"contemporary afghanistan, books",1,"Hurricane Ida Hits near New Orleans, Louisiana ",News ,1,45,49,22,en,en,3. Contemporary Afghanistan : The 'Bonn Agreement',"['book jacket, dust cover, dust jacket, dust wrapper']","[""a sign that says `` <UNK> '' on a building ."", ""a sign that says `` <UNK> '' on the side of a building ."", ""a sign that says `` <UNK> '' on a wall .""]",0.0004570141609292,1.2808706060241093e-06,2.4653640139149505e-05,0.0001095479601644,0.0001281934964936,1.6881216652109288e-05,9.213782504957637e-06,Bonn,7.09549,50.73438
105131,STY1654473332,28647,USR1646131566,,12,20. A Question of Pride : The 'Chushi Gangdrug' resistance movement,2022-03-01 16:16:06,"a question of pride, books",1,,,0,45,49,22,en,en,20. A Question of Pride : The 'Chushi Gangdrug' resistance movement,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book']","['a group of people standing next to a giant teddy bear .', 'a group of people standing next to each other .', 'a group of people standing next to a large teddy bear .']",0.0007368676597252,1.9795143089140765e-06,4.210908809909597e-05,0.0002715908340178,0.0001567319850437,2.30553123401478e-05,1.9509803678374738e-05,Tibet Autonomous Region,88.0,31.66667
105130,STY1654472717,40917,USR1654101217,male,23,From Undesirable to Undeniable - The Cody Rhodes return to WWE has been magical,2022-06-01 22:03:37,"cody rhodes, wwe, seth rollins, aew",0,"Inflation Hits 9.1%, Highest since 1980s ",News ,1,30,15,4,en,en,From Undesirable to Undeniable - The Cody Rhodes return to WWE has been magical,"['parallel bars, bars', 'horizontal bar, high bar']","['a man in a white shirt holding a white frisbee .', 'a man in a white shirt holding a white frisbee', 'a man in a white shirt and black shorts holds a white frisbee .']",0.002154370304197,1.221710681420518e-05,0.0003086127399001,0.0002806601405609,0.0002571248332969,5.995472747599706e-05,0.0001956886990228,Austin,-97.74306,30.26715
105128,STY1654472390,30424,USR1649207646,,12,Places in Australia where people live the longest,2022-04-06 06:44:06,"australia, lifestyle, life expectancy, life, people",1,,,0,45,49,22,en,en,Places in Australia where people live the longest,"['breakwater, groin, groyne, mole, bulwark, seawall, jetty', 'dock, dockage, docking facility']","['a group of boats floating on top of a body of water .', 'a group of boats floating on top of a river .', 'a group of boats floating on top of a lake .']",0.0016494531882926,2.647051769599784e-05,0.0001644016301725,0.0014263781486079,0.0005642028991132,8.752694702707231e-05,0.0003697411739267,Commonwealth of Australia,135.0,-25.0
105127,STY1654472214,30422,USR1649187874,,12,Canberra Raiders beat Sydney Roosters 22-16 ,2022-04-06 01:14:34,"australia, Sports, rugby, national rugby league",1,,,0,45,49,22,en,en,Canberra Raiders beat Sydney Roosters 22-16 ,"['maillot', 'basketball']","['a group of young men standing next to each other .', 'a group of young boys standing next to each other .', 'a group of young men standing next to each other on a field .']",0.0008011196041479,6.3540028349962085e-06,0.0001515016338089,0.000181165363756,0.0001806203217711,2.9562505005742423e-05,5.127979602548294e-05,Sydney,151.20732,-33.86785
105126,STY1654472058,30553,USR1649276466,,12,Prime Minister Anthony Albanese seeks to reboot Australia's ties as he heads to Indonesia,2022-04-07 01:51:06,"anthony albanese, australia, indonesia, foreign policy, international affairs",1,,,0,45,49,22,en,en,Prime Minister Anthony Albanese seeks to reboot Australia's ties as he heads to Indonesia,"['airliner', 'wing']","['a group of people standing next to an airplane .', 'a group of people standing around an airplane .', 'a group of people standing next to a plane .']",0.0040258420631289,1.342432642559288e-05,0.0001754960685502,0.0021549351513385,0.0004808487428817,6.296144420048222e-05,8.820286166155711e-05,Jakarta,106.84513,-6.21462
105125,STY1654471888,27001,USR1644289885,,32,Vice President Kamala Harris on abortion,2022-02-08 08:41:25,"kamala harris, vice president, usa, roe vs wade, abortion law",1,"Queen Elizabeth Celebrates 70 Years as Monarch, Britian's Longest Serving ",News ,0,25,21,5,en,en,Vice President Kamala Harris on abortion,"['microphone, mike', ""academic gown, academic robe, judge's robe""]","['a woman in a suit and tie standing in a room .', 'a woman in a red dress standing in front of a mirror .', 'a woman in a suit and tie standing in front of a mirror .']",0.0027376555372029,1.83553001988912e-05,0.0001071710867108,0.001504149287939,0.0006469642976298,0.0001627784658921,0.0003609902050811,Bosnia and Herzegovina,17.83333,44.25
105124,STY1654471752,6952,USR1623313390,others,13,Trump calls Paul Ryan a 'pathetic loser',2021-06-10 13:53:10,"donald trump, usa",1,,,0,45,49,22,en,en,Trump calls Paul Ryan a 'pathetic loser',"['suit, suit of clothes', 'Windsor tie']","['a man in a suit and tie holding a microphone .', 'a man in a suit and tie standing in front of a microphone .', 'a man in a suit and tie standing in front of a crowd .']",0.5072491765022278,7.958261448948178e-06,0.0010521895019337,0.0003715901111718,0.4844020307064056,4.041943248012103e-05,0.0001049737256835,Wisconsin,-90.00041,44.50024
105122,STY1654471510,8089,USR1627303042,others,22,'No reason to panic' for Golden State Warriors ahead of NBA Finals,2021-07-26 18:07:22,"nba, basketball",1,,,0,30,21,6,en,en,'No reason to panic' for Golden State Warriors ahead of NBA Finals,['basketball'],"['a man is playing tennis on a tennis court .', 'a man is playing tennis on the court', 'a man is playing tennis on the court .']",0.0004943324602209,1.7253091755264904e-06,5.656985376845114e-05,6.954690616112202e-05,0.0001304981124121,1.9371997041162103e-05,1.937545130203944e-05,Boston,-71.05977,42.35843
